Examen parcial 1 15%;Examen parcial 2 teórico 7.5%;Examen parcial 2 práctico 7.50%;Examen parcial 2 práctico repo 0.00%;Examen parcial 2 prác rep eval 0.00%;Total: Exámenes 30%;Tarea 1 3.75%;Tarea 2 0.00%;Tarea 2 evaluación 3.75%;Total: Tareas 7.5%;Proyecto Individual Docu 3.75%;Proyecto Individual Funcional 11.25%;Proyecto Grupal 1 Funcional 0%;Proyecto Grupal 1 Docu 0%;Proyecto Grupal 2 Funcional 11.37%;Proyecto Grupal 2 Docu 4.38%;Proyecto Grupal 2 Anteproyecto 1.75%;Proyecto Grupal 1 Func Eval 13.12%;Proyecto Grupal 1 Docu Eval 4.38%;Total: Proyectos 50%;Entrega;Total: Investigación 5%;Taller 1 1.87%;Taller 2 1.87%;Taller 3 1.88%;Taller 4 1.88%;Taller optativo 2.50%;Total: Talleres 10%;Charla 1 Simics 0.5%;Charla 2 Ronald 0.5%;Taller Simics 2%;Extra proyecto 1.75%;Total: Extra 4.75%;Total: ;Final
 17.8; 18.5; 88.3; ; ; 10.68; 13.4; ; 81.7; 3.57; 0.0; 36.0; 71.7; 100.0; 66.7; 94.3; 100.0; 71.7; 100.0; 31.30; 100.0; 5.00; 0.0; 85.3; 93.3; 77.8; ; 4.81; 100.0; 100.0; 100.0; 70.0; 4.23; 59.59; 60.0
 47.5; 63.0; 86.7; ; ; 18.35; 53.4; ; 100.0; 5.75; 100.0; 23.1; 48.0; 0.0; 0.0; 0.0; ; 48.0; 0.0; 12.65; ; 0.00; 100.0; 90.3; 100.0; 100.0; ; 7.32; 100.0; ; ; ; 0.50; 44.57; 45.0
 42.2; ; ; ; ; 6.33; 0.0; ; 100.0; 3.75; ; ; 48.0; 0.0; 0.0; 0.0; ; 48.0; 0.0; 6.30; ; 0.00; 95.0; 100.0; 100.0; 100.0; ; 7.41; ; ; ; ;0; 23.79; 25.0
 56.7; 78.0; 100.0; ; ; 21.86; 100.0; ; 100.0; 7.50; 91.7; 85.0; 70.0; 92.3; 88.9; 100.0; 94.7; 70.0; 92.3; 42.37; 99.0; 4.95; 100.0; 100.0; 100.0; 100.0; ; 7.50; 100.0; 100.0; ; ; 1.00; 85.18; 85.0
 72.0; 88.9; 33.3; ; ; 19.97; 80.0; ; 100.0; 6.75; 100.0; 100.0; 100.0; 100.0; 88.9; 94.7; 94.7; 100.0; 100.0; 48.41; 100.0; 5.00; 82.0; 100.0; 100.0; 100.0; ; 7.16; ; ; ; 50.0; 0.88; 88.17; 90.0
 78.0; 74.0; 100.0; ; ; 24.75; 100.0; ; 100.0; 7.50; 91.7; 100.0; 71.7; 100.0; 88.9; 94.7; 94.7; 71.7; 100.0; 44.39; 100.0; 5.00; 98.0; 100.0; 70.0; 0.0; ; 5.02; 100.0; 0.0; ; 50.0; 1.38; 88.04; 90.0
 56.9; 17.0; 0.0; 0.0; 0.0; 9.81; 70.0; ; 96.7; 6.25; 100.0; 76.0; 71.7; 100.0; 66.7; 94.3; 100.0; 71.7; 100.0; 39.55; 100.0; 5.00; 81.7; 67.3; 100.0; 0.0; 70.0; 6.42; ; 100.0; ; 70.0; 1.73; 68.76; 70.0
 48.8; 81.5; 100.0; ; ; 20.93; 100.0; ; 100.0; 7.50; 91.7; 100.0; 88.3; 100.0; 94.4; 100.0; 100.0; 88.3; 100.0; 47.52; 100.0; 5.00; 100.0; 72.0; 92.5; 66.7; ; 6.21; 100.0; ; ; ; 0.50; 87.66; 90.0
 59.3; 59.3; 100.0; ; ; 20.84; 100.0; ; 100.0; 7.50; 100.0; 61.0; 70.0; 92.3; 88.9; 100.0; 94.7; 70.0; 92.3; 39.98; 99.0; 4.95; 100.0; 95.3; 100.0; 100.0; 100.0; 9.91; 100.0; 100.0; ; ; 1.00; 84.18; 85.0
 66.3; 50.0; 90.0; ; ; 20.45; 100.0; ; 100.0; 7.50; 100.0; 100.0; 88.3; 100.0; 94.4; 100.0; 100.0; 88.3; 100.0; 47.83; 100.0; 5.00; 95.0; 95.3; 100.0; 66.7; ; 6.69; ; ; ; ;0; 87.47; 85.0
 54.4; 46.3; 98.3; ; ; 19.01; 100.0; ; 96.7; 7.38; 100.0; 100.0; 100.0; 100.0; 80.0; 100.0; 94.7; 100.0; 100.0; 47.63; 100.0; 5.00; 90.0; 95.0; 100.0; 100.0; ; 7.22; ; ; ; ;0; 86.24; 85.0
 72.0; 70.4; 33.3; ; ; 18.58; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 88.9; 94.7; 94.7; 100.0; 100.0; 48.41; 100.0; 5.00; 100.0; 77.0; 93.3; 100.0; ; 6.94; ; ; ; 50.0; 0.88; 87.31; 85.0
 31.6; 11.1; 100.0; ; ; 13.07; 0.0; ; 0.0; 0.00; 100.0; 83.8; 100.0; 100.0; 88.9; 94.7; 94.7; 100.0; 100.0; 46.59; 100.0; 5.00; 0.0; 0.0; 70.8; 0.0; 100.0; 3.83; ; ; ; 50.0; 0.88; 69.37; 70.0
